Org,Api,Status,Count
RMG Onboarding,PFW Tracking API (SOAP) LIVE,200 OK,1
Complete Care Network Ltd,Shipping API V2 Live (SOAP),500 Internal Server Error,36
,PFW Tracking API (SOAP),401,4
Holbi Group Ltd,Shipping API V2 (SOAP),500 Internal Server Error,2
MOO,Shipping API V2 Live (SOAP),500 Internal Server Error,1
Hugo and Cat,Delivery Office Finder API (REST),200 OK,17
RMG Onboarding,Local Collect API (REST),200,2
Crisp Webdesign Ltd,Shipping API V2 Live (SOAP),200 OK,21
Holbi Group Ltd,Shipping API V2 (SOAP),200 OK,16
feelunique.com,Shipping API V2 (SOAP),200 OK,20
Monitoring,Shipping API V2 Live (SOAP),500 Internal Server Error,2
Pure Luxuries London Ltd,Shipping API V2 Live (SOAP),200 OK,451
laser craft shapes ltd,Shipping API V2 Live (SOAP),200 OK,108
In Phase International,Shipping API V2 Live (SOAP),200 OK,14
Best4ecigs,Local Collect API (SOAP),200 OK,74
ECGroup,Shipping API V2 Live (SOAP),200 OK,184
Mc Manager Ltd,Shipping API V2 Live (SOAP),200 OK,222
Electric Mania Ltd,Shipping API V2 Live (SOAP),200 OK,3
Parcel Monkey / Cloud Fulfulment,Tracking API LIVE (SOAP),200 OK,2
Parcel Monkey / Cloud Fulfulment,Tracking API LIVE (SOAP),500 Internal Server Error,20
Mc Manager Ltd,Shipping API V2 Live (SOAP),500 Internal Server Error,5
Jigsaw,Shipping API V2 Live (SOAP),200 OK,60
DGAP,Shipping API V2 Live (SOAP),200 OK,150
Jigsaw,Shipping API V2 Live (SOAP),500 Internal Server Error,5
SNG Barratt Group Limited,Shipping API V2 Live (SOAP),200 OK,51
Moontex Bedding Co Ltd,Shipping API V2 Live (SOAP),200 OK,6
Trojan Electronics Ltd,Shipping API V2 Live (SOAP),200 OK,457
JP Playing Card CO LTD,Shipping API V2 Live (SOAP),200 OK,29
Canford Audio plc,Shipping API V2 Live (SOAP),200 OK,14
Flint Studios Ltd,Shipping API V2 (SOAP),500 Internal Server Error,17
,Tracking API LIVE (SOAP),401,3
iParts4u Ltd,Shipping API V2 (SOAP),500 Internal Server Error,1
Neopost,Local Collect API (SOAP),500 Internal Server Error,3
,Local Collect API LIVE (REST),401,1
IT,Shipping API V2 Live (SOAP),200 OK,26
Charles Bentley & Son Ltd.,Shipping API V2 Live (SOAP),200 OK,26
RMG Onboarding,Tracking API LIVE (REST),200,1
RMG Onboarding,Tracking API LIVE (REST),500,2
Cyber-Duck,Shipping API V2 (SOAP),200 OK,19
